Farm size (litres),Region,Solids profile,Seasonality,Price option,Attribute,Months,Value
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.166231131
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,49.53797299
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.469430379
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,55.53989049
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,6.981259585
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,49.79807055
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.54227863
"1,000,000 to 1,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,45.51296226
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Dec-Feb,6.947160214
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Dec-Feb,50.72726641
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.191267523
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,49.71080377
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.486995326
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,55.67019067
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,7.003895224
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,49.95953298
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.572726832
"1,500,000 to 2,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,45.72478011
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Dec-Feb,6.982811702
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Dec-Feb,50.98566725
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.229956342
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,49.97850199
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.517429953
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,55.89568009
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,7.040988012
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,50.2241198
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.614053412
"2,000,000 to 2,500,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,46.01227478
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Dec-Feb,7.031186411
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Dec-Feb,51.3387389
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.280928786
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,50.33078173
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.559281871
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,56.20734794
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,7.087008302
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,50.55238745
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.658541289
"2,500,000 to 3,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,46.32180413
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Dec-Feb,7.057586482
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Dec-Feb,51.53086319
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.309668032
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,50.52940382
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.586500597
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,56.40977394
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,7.114106267
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,50.74568013
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.685061124
"3,000,000 to 4,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,46.50627945
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Dec-Feb,7.087827435
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Dec-Feb,51.75187911
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.330083132
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,50.67028928
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.618975897
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,56.65133842
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,7.146873016
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,50.97940885
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.727310881
"4,000,000 to 5,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,46.80016735
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Dec-Feb,7.131346568
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Dec-Feb,52.06941302
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Jul-Aug,7.383437114
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Jul-Aug,51.03923126
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Mar-Jun,7.662784559
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Mar-Jun,56.9775999
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Season,7.186967579
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Season,51.26540765
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,$/kgMS,Sep-Nov,6.754658665
"5,000,000 to 10,000,000",Western VIC,Low,Average,Full-year estimate,c/litre,Sep-Nov,46.99041467
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,7.162024442
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,52.29545385
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.403651662
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,51.17873037
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.695541675
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,57.22050258
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.216927797
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,51.47911709
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.788359434
"500,000 to 750,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,47.22485837
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,7.210156514
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,52.64514744
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.461600128
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,51.57921918
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.742500891
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,57.56997098
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.26766096
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,52.15671077
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.839037798
"750,000 to 1,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,47.57740985
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,6.940191491
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,50.67978756
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.175883266
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,49.60527519
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.505390849
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,55.8080123
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.04039629
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,50.52573518
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.540233477
"1,000,000 to 1,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,45.49873259
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,6.959475192
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,50.8204534
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.195449566
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,49.74051509
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.524404788
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,55.94939292
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.062943795
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,50.68754841
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.571266008
"1,500,000 to 2,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,45.71461606
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,6.995007727
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,51.07965577
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.237888363
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,50.03361866
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.565776897
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,56.258058
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.099864122
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,50.95250887
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.60056305
"2,000,000 to 2,500,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,45.91842548
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,7.039277888
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,51.40260146
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.276794414
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,50.3027163
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.603817819
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,56.53998826
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.142995454
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,51.26204291
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.651573451
"2,500,000 to 3,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,46.27328778
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,7.067671708
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,51.60973181
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.305747212
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,50.50281622
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.632115503
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,56.75044511
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.17154846
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,51.4669549
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.680334742
"3,000,000 to 4,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,46.47337055
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,7.099942709
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,51.84514585
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.338695049
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,50.73052452
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.664311156
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,56.98989632
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.20231428
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,51.68774725
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.706984764
"4,000,000 to 5,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,46.65876518
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Dec-Feb,7.145520177
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Dec-Feb,52.17639833
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Jul-Aug,7.388572216
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Jul-Aug,51.07490367
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Mar-Jun,7.717768946
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Mar-Jun,57.38877853
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Season,7.252000799
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Season,52.04432489
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,$/kgMS,Sep-Nov,6.754293459
"5,000,000 to 10,000,000",Western VIC,Low,Batch,Full-year estimate,c/litre,Sep-Nov,46.98787366
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.172151805
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,52.37190193
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.4125014
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,51.24061135
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.736370179
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,57.52582664
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.274006637
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,52.20225082
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.776567314
"500,000 to 750,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,47.1432336
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.217851622
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,52.70550545
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.460787671
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,51.57399742
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.789570387
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,57.92207543
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.326277598
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,52.65122073
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.834680944
"750,000 to 1,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,47.54750935
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,6.942034247
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,50.69334209
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.175649474
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,49.60369886
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.505862426
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,55.81136821
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.060128172
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,50.73850421
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.532327972
"1,000,000 to 1,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,45.44374539
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,6.960791446
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,50.8301352
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.195282571
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,49.73938914
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.524741629
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,55.95179
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.079136289
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,50.87510845
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.551370322
"1,500,000 to 2,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,45.57621438
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.00810924
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,51.17528755
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.231532587
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,49.98991948
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.566012685
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,56.25973596
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.122982857
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,51.19021736
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.599727244
"2,000,000 to 2,500,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,45.9126155
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.039936015
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,51.40744237
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.276710917
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,50.30215333
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.603986239
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,56.5411868
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.16235774
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,51.47318994
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.644696809
"2,500,000 to 3,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,46.22606576
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.068183585
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,51.61349696
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.30568227
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,50.50237835
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.632246497
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,56.75137731
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.18928771
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,51.66672557
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.667406154
"3,000,000 to 4,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,46.38347541
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.100361517
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,51.84822642
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.338641915
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,50.73016626
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.664418333
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,56.99065903
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.220157607
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,51.88857599
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.694137067
"4,000,000 to 5,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,46.56938981
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Dec-Feb,7.158710079
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Dec-Feb,52.27386773
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Jul-Aug,7.388530468
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Jul-Aug,51.07462219
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Mar-Jun,7.722733087
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Mar-Jun,57.4243791
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Season,7.277578118
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Season,52.30123576
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,$/kgMS,Sep-Nov,6.753994957
"5,000,000 to 10,000,000",Western VIC,Low,Flat,Full-year estimate,c/litre,Sep-Nov,46.98579866
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,$/kgMS,Dec-Feb,7.172407744
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,c/litre,Dec-Feb,57.88681445
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,$/kgMS,Jul-Aug,7.412468928
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,c/litre,Jul-Aug,56.63411793
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,$/kgMS,Mar-Jun,7.736435676
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,c/litre,Mar-Jun,63.58169198
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,$/kgMS,Season,7.292954453
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,c/litre,Season,52.41173974
"500,000 to 750,000",Western VIC,High,Highly seasonal,Full-year estimate,$/kgMS,Sep-Nov,6.768053786
