Farm size (litres),Region,Solids profile,Seasonality,Price option,Months,% of litres
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,Jul,0.068920272
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,Jun,0.071531338
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,Mar,0.067726261
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,May,0.078196989
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,Nov,0.104569239
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,Oct,0.11267388
"2,500,000 to 3,000,000",Northern VIC,High,Average,Full-year estimate,Sep,0.099685112
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Apr,0.070355574
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Aug,0.077560501
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Dec,0.096555675
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Feb,0.067454644
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Jan,0.084770517
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Jul,0.068920272
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Jun,0.071531338
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Mar,0.067726261
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,May,0.078196989
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Nov,0.104569239
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Oct,0.11267388
"3,000,000 to 4,000,000",Northern VIC,High,Average,Full-year estimate,Sep,0.099685112
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Apr,0.070355574
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Aug,0.077560501
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Dec,0.096555675
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Feb,0.067454644
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Jan,0.084770517
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Jul,0.068920272
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Jun,0.071531338
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Mar,0.067726261
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,May,0.078196989
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Nov,0.104569239
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Oct,0.11267388
"4,000,000 to 5,000,000",Northern VIC,High,Average,Full-year estimate,Sep,0.099685112
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Apr,0.070355574
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Aug,0.077560501
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Dec,0.096555675
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Feb,0.067454644
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Jan,0.084770517
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Jul,0.068920272
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Jun,0.071531338
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Mar,0.067726261
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,May,0.078196989
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Nov,0.104569239
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Oct,0.11267388
"5,000,000 to 10,000,000",Northern VIC,High,Average,Full-year estimate,Sep,0.099685112
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"500,000 to 750,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"750,000 to 1,000,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"1,000,000 to 1,500,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"1,500,000 to 2,000,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"2,000,000 to 2,500,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"2,500,000 to 3,000,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"3,000,000 to 4,000,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"4,000,000 to 5,000,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Apr,0.087944468
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Aug,0.074458081
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Dec,0.086900107
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Feb,0.080945572
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Jan,0.076293465
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Jul,0.068920272
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Jun,0.070875494
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Mar,0.088044139
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,May,0.086016687
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Nov,0.094112315
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Oct,0.095772798
"5,000,000 to 10,000,000",Northern VIC,High,Batch,Full-year estimate,Sep,0.0897166
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"500,000 to 750,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"750,000 to 1,000,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"1,000,000 to 1,500,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"1,500,000 to 2,000,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"2,000,000 to 2,500,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"2,500,000 to 3,000,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"3,000,000 to 4,000,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"4,000,000 to 5,000,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Apr,0.08
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Aug,0.083333333
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Dec,0.085
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Feb,0.08
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Jan,0.083333333
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Jul,0.08
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Jun,0.083333333
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Mar,0.079
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,May,0.08
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Nov,0.088
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Oct,0.09
"5,000,000 to 10,000,000",Northern VIC,High,Flat,Full-year estimate,Sep,0.088
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Apr,0.059614729
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Aug,0.070600096
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Dec,0.11516645
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Feb,0.070033675
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jan,0.093106733
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jul,0.034311303
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jun,0.034318258
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Mar,0.066149323
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,May,0.055151496
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Nov,0.137596159
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Oct,0.147456033
"500,000 to 750,000",Gippsland,Average,Highly seasonal,Full-year estimate,Sep,0.116495745
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Apr,0.059614729
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Aug,0.070600096
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Dec,0.11516645
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Feb,0.070033675
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jan,0.093106733
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jul,0.034311303
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jun,0.034318258
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Mar,0.066149323
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,May,0.055151496
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Nov,0.137596159
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Oct,0.147456033
"750,000 to 1,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Sep,0.116495745
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Apr,0.059614729
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Aug,0.070600096
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Dec,0.11516645
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Feb,0.070033675
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jan,0.093106733
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jul,0.034311303
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jun,0.034318258
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Mar,0.066149323
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,May,0.055151496
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Nov,0.137596159
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Oct,0.147456033
"1,000,000 to 1,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Sep,0.116495745
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Apr,0.059614729
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Aug,0.070600096
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Dec,0.11516645
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Feb,0.070033675
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jan,0.093106733
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jul,0.034311303
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Jun,0.034318258
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Mar,0.066149323
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,May,0.055151496
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Nov,0.137596159
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Oct,0.147456033
"1,500,000 to 2,000,000",Gippsland,Average,Highly seasonal,Full-year estimate,Sep,0.116495745
"2,000,000 to 2,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Apr,0.059614729
"2,000,000 to 2,500,000",Gippsland,Average,Highly seasonal,Full-year estimate,Aug,0.070600096
